# Data symbols that have been migrated out of the raw reference section
# dumps (ref/asm/sections/<file>/<file>.<section>.s) into real, typed C/C++
# translation units under src/ + include/.
#
# Format, one entry per line:
#
#   <section> <symbol> [<object>[:<elf-section>]]
#
#   <section>     dump basename without ".s" (e.g. "main.data" for
#                 ref/asm/sections/main/main.data.s).
#   <symbol>      the exact glabel name in that dump (match the RAW dump's
#                 name, incl. any disassembler-added disambiguating suffix --
#                 e.g. VSyncField__2, not VSyncField, since retail has two
#                 distinct VSyncField symbols and the dump renames one).
#   <object>      (optional) the compiled object that now supplies this
#                 symbol's real bytes (e.g. main.cpp.o). When present the
#                 symbol becomes an "island" placed EXACTLY into its retail
#                 hole by the generated linker script. When absent, the
#                 symbol is only carved (zero `.space` filler left in place)
#                 and placed by the generic `*(.sec)` wildcard.
#   <elf-section> (optional, after ':') the object's ELF section that fills
#                 the hole, when it differs from the dump's own section --
#                 e.g. main.cpp.o's `.init`/`.ctor` fill holes that live in
#                 the main.rodata dump.
#
# scripts/build/migrate_section.py reads this file (plus the untouched reference
# dump) at build time, carves each listed symbol's byte range out (replaced
# by an equally-sized `.space` filler) so the migrated bytes aren't linked in
# twice, groups adjacent migrated-with-object holes into "islands", and
# splits/places each island exactly into its retail gap -- every other
# symbol in the dump keeps its original retail address. Entry order in this
# file does not matter (islands are derived from address order in the raw
# dump, not from file order); entries below are grouped by section and by
# address purely for human readability. See docs/RE/migrated_data_layout.md
# for the full mechanism and how to add an entry.

main.data sub_map$439 savedata.cpp.o
main.bss save_data main.cpp.o
main.sbss SaveData main.cpp.o
main.sbss MapNo main.cpp.o
main.sbss OldMapNo main.cpp.o
main.sbss LocalMapNo main.cpp.o
main.sbss StartEventNo main.cpp.o
main.sbss SystemMes main.cpp.o
main.sbss CSnd main.cpp.o
main.sbss main_select_padrup main.cpp.o
main.sbss PolyCount main.cpp.o
main.sbss GameClearFlag main.cpp.o
main.sbss main_select_menu_no main.cpp.o
main.bss main_select_param mainselect.cpp.o
main.sdata old_main_mode mainselect.cpp.o
main.sbss DmaCH8 mglib.cpp.o
main.sbss Vif1Packet mglib.cpp.o
main.sbss VSyncField__2 mglib.cpp.o
main.sbss mgTEX1Env mglib.cpp.o
main.sbss mgClearBackFlag mglib.cpp.o
main.sbss pBound main.cpp.o
main.sbss ParentFrame main.cpp.o
main.sbss DataBuffer main.cpp.o
main.sbss mode main.cpp.o
main.sbss d1 main.cpp.o
main.sbss d2 main.cpp.o
main.sbss d8 main.cpp.o
main.sbss mc_mode main.cpp.o
main.sbss depth$682 main.cpp.o
main.sbss init$683 main.cpp.o
main.sbss wt$685 main.cpp.o
main.sbss init$686 main.cpp.o
main.sbss init_flag$704 main.cpp.o
main.sbss init$705 main.cpp.o
main.bss config_data main.cpp.o
main.bss DebugFont main.cpp.o
main.bss GamePad gamepad.cpp.o
main.bss RunScript main.cpp.o
main.bss SystemMesBuffer main.cpp.o
main.bss mainCDataAlloc2 main.cpp.o
main.rodata __sinit_main.cpp main.cpp.o:.init
main.rodata RO_002A1018 main.cpp.o:.ctor
main.rodata LIT_875 main.cpp.o
main.rodata LIT_876 main.cpp.o
main.bss EditPartsInfo editpartsinfo.cpp.o
main.sbss RandomItem randomitem.cpp.o
main.sbss UserStatus userstatus.cpp.o
main.sbss NowMonstorUnit monstorunit.cpp.o
main.sbss NowHitValue hitvalue.cpp.o
main.bss TextureData texture.cpp.o
main.bss WaterData water.cpp.o
main.bss mgWindowRect mglib.cpp.o
main.rodata LIT_281__3 dngstatusdata.cpp.o
main.rodata LIT_540__2 dngstatusdata.cpp.o
main.rodata LIT_541__2 dngstatusdata.cpp.o
main.rodata LIT_352__2 stockitem.cpp.o
main.rodata LIT_353__6 stockitem.cpp.o
